comments,date_created,days_posted,likes,slide_id,total_images,total_slides,tweets,url,views
0,2011-05-09,1923,12,7902449,80,52,0,http://www.slideshare.net/bright9977/48-laws-of-power-you-must-know,7243
0,2015-03-12,520,7,45767241,173,145,3,http://www.slideshare.net/dscrankshaw/velox-at-sf-data-mining-meetup,1620
555,2007-07-31,3301,5713,85551,94,61,1009,http://www.slideshare.net/thecroaker/death-by-powerpoint,7819070
2,2015-07-29,381,75,51066765,67,37,10,http://www.slideshare.net/LHBSC/the-near-future-of-travel-q3-2015-51066765,5158
14,2016-03-03,163,325,59039746,115,82,26,http://www.slideshare.net/Tommasodb/creative-traction-methodology-for-early-stage-startups,93627
6,2012-02-26,1630,94,11754474,147,114,161,http://www.slideshare.net/lunivore/behavior-driven-development-11754474,34063
2,2012-08-18,1456,6,14005438,70,40,0,http://www.slideshare.net/kazekage15/news-writing-the-link-campus-journalism-trainingworkshop-2011,5191
11,2015-06-16,424,391,49459876,74,41,189,http://www.slideshare.net/rosssimmonds/five-ways-brands-can-start-using-meerkat-or-periscope-to-drive-success-via-the-coolestcool,442658
1,2012-08-18,1456,21,14005437,62,33,0,http://www.slideshare.net/kazekage15/news-writing-bcis-campus-journalism-trainingworkshop-2012,7468
1,2008-09-18,2886,19,605148,52,23,9,http://www.slideshare.net/teenmentalhealth/everything-you-need-to-know-about-the-teen-brain-presentation,68110
0,2014-03-06,891,1,31998389,37,13,0,http://www.slideshare.net/Fahrenheit212/creating-growth-from-retails-new-crossroads,432
0,2013-10-21,1027,46,27431642,48,20,0,http://www.slideshare.net/chaudharyvihan/li-fi-27431642,35171
0,2013-01-05,1316,13,15863002,64,36,0,http://www.slideshare.net/thilinaakalanka/civil-department-presentation,11320
0,2013-05-17,1184,2,21334966,51,26,7,http://www.slideshare.net/SandyRees/engage-your-board-how-to-get-your-nonprofit-board-on-board,4119
0,2015-05-15,456,13,48198391,82,54,0,http://www.slideshare.net/jundumaug1/article-6-legislative-department,1131
0,2016-08-09,4,0,64817440,35,12,0,http://www.slideshare.net/CarolinaGarro2/hardware-y-software-64817440,9
2,2012-09-14,1429,8,14290199,72,42,0,http://www.slideshare.net/jpholly/africa-presentation-1,14017
103,2014-01-28,928,148,30531431,150,117,22,http://www.slideshare.net/goudotmobi/implementing-enterprise-risk-management-with-iso-31000-2009,28455
225,2012-04-27,1569,554,12719354,78,45,13,http://www.slideshare.net/demandmetric/marketing-plan-presentation-template,102710
3,2016-01-29,197,8,57658199,42,11,0,http://www.slideshare.net/AccentureTechnology/the-digitization-of-human-resources,5353
12,2014-01-12,944,183,29940352,51,18,82,http://www.slideshare.net/rosssimmonds/four-public-speaking-tips-from-standup-comedians,60043
2,2014-08-13,731,126,37951590,166,136,6,http://www.slideshare.net/rennen30/integrated-science-module-for-grade-7-quarter-12,52544
1,2013-02-16,1274,5,16577267,58,29,0,http://www.slideshare.net/ranausmansattar/application-software-16577267,7469
1,2013-10-20,1028,11,27376710,50,21,0,http://www.slideshare.net/janapra/food-security-in-india-27376710,19829
0,2014-02-10,915,2,31055386,36,16,0,http://www.slideshare.net/Calit2LS/the-quantified-self-movement-technologies-revolutionizing-health-and-fitness,3310
2,2012-09-30,1413,33,14532203,84,54,0,http://www.slideshare.net/MingLi1/cross-cultural-management-14532203,56857
2,2014-05-02,834,7,34212758,72,42,4,http://www.slideshare.net/mrjamescarson/multi-format-content-strategy2,13501
4,2011-03-27,1966,54,7405280,47,15,0,http://www.slideshare.net/RyanBraganza/pepsi-marketing-mix,128711
0,2015-12-11,246,12,56036233,49,21,7,http://www.slideshare.net/sparksandhoney/the-esports-user-manual-preview,8754
1,2009-03-17,2706,34,1158273,74,45,0,http://www.slideshare.net/dil_engineer/history-of-art-per-historic-to-modern,16099
1,2014-05-26,810,52,35119739,58,29,9,http://www.slideshare.net/iimjobs/india-fmcg-sector-report-may-2014,80204
0,2016-03-03,163,0,59030654,38,15,1,http://www.slideshare.net/RichardBattista/boosting-personal-growth,222
7,2013-07-23,1117,82,24549056,47,14,29,http://www.slideshare.net/fabius77/the-power-of-networking-24549056,1366590
2,2013-11-25,992,12,28598832,63,33,1,http://www.slideshare.net/lmbg/defs-practice-ufp,4419
6,2015-03-13,519,128,45805209,47,14,87,http://www.slideshare.net/DanielGoleman/small-wins-big-results,15460
3,2015-10-23,295,192,54308888,46,15,24,http://www.slideshare.net/carolynrowland/a-fine-line-balancing-motherhood-and-career-from-the-grace-hopper-conference-2015,22723
0,2008-07-13,2953,33,511432,94,66,0,http://www.slideshare.net/MandieFunk/morning-meeting-activities-karie,162854
1,2015-09-24,324,33,53150018,87,57,26,http://www.slideshare.net/Salesforce/trust-building-in-sales-the-risky-technique-that-will-fasttrack-you-to-trusted-advisor-status,16001
4,2014-09-15,698,178,39117692,77,45,57,http://www.slideshare.net/PSFK/future-of-travel,35219
1,2013-10-25,1023,26,27555554,162,133,6,http://www.slideshare.net/Reosurfer/another-33-things-i-know-about-art-direction-david-bell,6767
0,2015-10-23,295,156,54296319,144,116,11,http://www.slideshare.net/ReutersInstitute/tracking-the-future-of-news,16280
2,2008-11-25,2818,29,787680,101,71,10,http://www.slideshare.net/ResourceInteractive/dm-webinar-nov08-fina-lfor-slide-share-arial-presentation,8658
48,2013-10-16,1032,342,27243309,70,37,5,http://www.slideshare.net/tanshu9871/ppt-on-lifi-technology,237426
1,2012-08-09,1465,27,13931538,52,23,0,http://www.slideshare.net/Anjali_Devil/business-environment-13931538,20631
1,2016-02-05,190,10,57928911,131,102,2,http://www.slideshare.net/duvalunionconsulting/digital-transformation-food-and-retail,2070
2,2008-05-03,3024,1,385638,122,96,0,http://www.slideshare.net/foreman/ngheo-doi-va-moi-truong,3326
1,2014-10-09,674,103,40078680,57,28,25,http://www.slideshare.net/TineThygesen/digital-storytelling-on-digital-and-mobile,10697
4,2008-05-03,3024,1,385631,80,52,0,http://www.slideshare.net/viswanadhamvangapally/20080311-motivation-lic-himayathnagar-52s,2787
0,2016-07-21,23,0,64263453,46,23,0,http://www.slideshare.net/UniVoIP/top-10-fundraising-strategies-to-power-your-nonprofit-in-2016,178
1,2014-09-11,702,78,38989115,57,27,7,http://www.slideshare.net/insideview/insideview-guide-to-social-selling,16256
0,2011-07-18,1853,1,8629740,55,31,0,http://www.slideshare.net/pamplemousse_88/importance-biologique-des-glucides,7316
12,2009-12-20,2428,53,2752965,148,115,1,http://www.slideshare.net/biovictor/human-impact-on-the-natural-environment,131379
3,2010-03-17,2341,12,3460433,69,38,1,http://www.slideshare.net/dahogan/social-media-for-bank-investor-relations,18925
0,2014-05-19,817,4,34843999,39,12,0,http://www.slideshare.net/jumasiah/food-additives-34843999,3258
1,2014-04-22,844,30,33820115,74,44,57,http://www.slideshare.net/Microsofteduk/computer-science-in-the-national-curriculum,22066
3,2014-12-29,593,140,43080696,41,10,95,http://www.slideshare.net/DanielGoleman/7-ways-to-sharpen-your-focus,45727
0,2013-04-07,1224,2,18370723,51,26,0,http://www.slideshare.net/gongadi/design-and-implementation-of-qpsk-modulator-using-digital-subcarrier-18370723,6261
196,2009-04-12,2680,323,1278682,179,146,1,http://www.slideshare.net/Niezette/powerpoint-tutorial-1278682,122968
2,2010-02-21,2365,10,3236492,42,12,0,http://www.slideshare.net/azan93/highway-engineering,11730
0,2015-01-19,572,68,43649836,52,24,0,http://www.slideshare.net/AvaniBedi/digital-india-ppt-43649836,44317
8,2008-04-22,3035,128,366267,64,31,8,http://www.slideshare.net/rantav/introduction-to-map-reduce,87485
1,2010-04-05,2322,6,3641748,45,16,0,http://www.slideshare.net/mollyflops/what-is-art-3641748,4453
0,2016-03-09,157,12,59286272,73,44,6,http://www.slideshare.net/LImarketingsolutions/live-webcast-rethink-the-tech-buyers-journey,4698
6,2014-07-06,769,21,36673555,56,23,10,http://www.slideshare.net/rohith1812/automobile-36673555,15200
8,2009-02-13,2738,190,1026314,70,37,1,http://www.slideshare.net/brhughes/four-steps-for-better-powerpoint-presentations,42715
0,2015-05-26,445,2,48596315,48,23,0,http://www.slideshare.net/RASBorja/devt-theories-48596315,498
0,2012-11-14,1368,0,15168321,33,10,0,http://www.slideshare.net/volkolledzh/ss-15168321,3867
41,2014-08-19,725,1205,38147566,75,42,946,http://www.slideshare.net/ValaAfshar/internet-of-thingsslideshare,389603
0,2010-08-16,2189,0,4977579,33,10,0,http://www.slideshare.net/mediacultures1/estelle-tigani-sora,517
0,2014-09-02,711,2,38628498,36,11,0,http://www.slideshare.net/Jaumr14/hr-intern-interview-questions,7725
15,2011-10-01,1778,16,9497667,461,428,0,http://www.slideshare.net/ulhasw/business-policy-strategic-management-notes201112,44432
0,2014-01-27,929,2,30481843,57,32,1,http://www.slideshare.net/Dingle/some-toimii-digitalist-marketing-forum-2014,560
0,2013-02-17,1273,12,16590425,110,82,0,http://www.slideshare.net/monikakunwar/the-role-of-social-networking-sites-in-recruitment,9012
29,2012-10-03,1410,79,14574580,71,38,2,http://www.slideshare.net/komalpr/real-estateppt,64093
7,2012-05-22,1544,69,13037652,72,38,56,http://www.slideshare.net/jaybaer/8-steps-to-manage-a-social-media-crisis,81326
3,2015-11-11,276,132,54996841,43,12,3,http://www.slideshare.net/Buildmyfitness/yoga-for-glowing-skin-54996841,4138
2,2011-07-11,1860,16,8561398,71,41,0,http://www.slideshare.net/konatanzin/situation-analysis-on-real-estate-business,9345
7,2013-06-19,1151,149,23199765,55,21,117,http://www.slideshare.net/Salesforce/20-motivational-sales-quotes-to-amp-you-up,274873
0,2012-08-29,1445,0,14109203,69,46,0,http://www.slideshare.net/tamana2223/subcultures-14109203,3104
11,2013-10-30,1018,114,27763388,81,48,11,http://www.slideshare.net/EmilyWing/public-speaking-27763388,31813
1,2011-03-21,1972,3,7332527,40,13,0,http://www.slideshare.net/peoplematters/the-industry-of-hr-in-india,8004
0,2012-03-14,1613,17,12007814,49,21,0,http://www.slideshare.net/AvinashAvi3/mergers-and-acquisitions-tata-motors-and-jaguar,30965
0,2015-01-02,589,0,43144584,46,23,0,http://www.slideshare.net/hopstaken/hrm-in-vietnam-2015,1320
1,2007-08-17,3284,39,93275,117,88,0,http://www.slideshare.net/brassMEDIA/gen-y-financial-services-presentation,27750
2,2012-06-13,1522,161,13311008,81,50,73,http://www.slideshare.net/jess3/visual-storytelling-101,82462
0,2015-06-25,415,128,49844024,71,42,161,http://www.slideshare.net/davekerpen/twitter-webinar-deck-nk-1-1,52876
0,2014-12-09,613,27,42522487,41,13,13,http://www.slideshare.net/GuillaumeAGIS/wearable-technology-42522487,6808
3,2013-12-06,981,15,28964702,55,24,0,http://www.slideshare.net/muhammaduahmed14/negotiation-28964702,18800
2,2009-11-01,2477,10,2396637,70,40,0,http://www.slideshare.net/deepbaazigar/marketing-of-education-in-india,32224
16,2016-01-05,221,351,56684381,102,69,76,http://www.slideshare.net/gregfromparis/how-can-brands-tackle-the-collaborative-economy-25-case-studies,154291
0,2012-12-13,1339,35,15621757,74,46,48,http://www.slideshare.net/HavasSE/havasse2013trends,13194
2,2015-12-21,236,229,56340763,43,12,12,http://www.slideshare.net/TheMotleyFool/heres-what-the-smartwatch-market-looks-like-in-2019,22105
0,2010-11-22,2091,3,5868189,47,21,0,http://www.slideshare.net/Nouraalansser/preservatives-and-food-additives-harmless-or-harmful-5868189,2999
0,2016-08-10,3,1,64857318,59,34,0,http://www.slideshare.net/LinkedInAustralia/free-vs-paid-recruiting-tools-on-linkedin-64857318,111
0,2016-01-19,207,36,57234578,50,22,53,http://www.slideshare.net/AccentureTechnology/intelligent-automation-tech-vision-2016-trend-1,49032
